Player,Runs,ScoreRate,Country,centuries,missed centuries,ducks
Sachin R Tendulkar,18111.0,74.61212669683265,442,48,17,20
Ricky T Ponting,13686.0,69.83119444444444,360,30,5,20
Sanath T Jayasuriya,13430.0,77.5775057736721,433,28,6,34
Inzamam-ul-Haq,11739.0,67.45311428571429,351,10,2,20
Jacques H Kallis,11372.0,63.60085808580856,303,17,8,17
Sourav C Ganguly,11363.0,64.90043333333332,300,22,3,16
Rahul Dravid,10889.0,66.91160377358489,318,12,3,13
Brian C Lara,10405.0,70.71830449826992,289,19,3,16
D P Mahela Jayawardene,9913.0,65.05869696969702,330,15,3,26
Mohammad Yousuf,9720.0,67.17329670329666,273,15,4,15
Adam C Gilchrist,9619.0,86.78236559139783,279,16,6,19
Kumar C Sangakkara,9540.0,69.94393617021278,282,11,1,10
Mohammad Azharuddin,9378.0,69.66844155844164,308,7,5,9
Pinnaduwage A de Silva,9284.0,72.22793918918917,296,11,8,17
Saeed Anwar,8824.0,72.01553278688525,244,20,2,15
Shivnarine Chanderpaul,8778.0,68.70087649402387,251,11,5,6
Desmond L Haynes,8648.0,52.77962025316457,237,17,3,13
Marvan S Atapattu,8529.0,59.97355212355214,259,11,4,13
Mark E Waugh,8500.0,65.8502966101695,237,18,2,16
Herschelle H Gibbs,8094.0,68.41941666666662,240,21,4,22
Christopher H Gayle,8087.0,72.76044843049328,223,19,4,22
Yuvraj Singh,8051.0,79.13948412698414,252,13,3,15
Stephen P Fleming,8037.0,65.08631970260222,269,8,3,17
Virender Sehwag,7760.0,93.87600000000002,230,14,4,12
Stephen R Waugh,7569.0,69.41430555555557,288,3,1,17
Arjuna Ranatunga,7456.0,68.38435294117649,255,4,2,20
Javed Miandad,7381.0,65.68435779816512,218,8,1,8
Salim Malik,7170.0,68.5674609375,256,5,2,20
Nathan J Astle,7090.0,61.723456221198155,217,16,7,19
Michael G Bevan,6912.0,73.39551020408166,196,6,0,5
Gary Kirsten,6798.0,60.52005405405405,185,13,4,11
Andrew Flower,6786.0,67.04990384615384,208,4,2,14
Isaac V A Richards,6721.0,85.41149700598798,167,11,3,7
Shahid Afridi,6695.0,103.14927392739277,303,6,0,26
Michael J Clarke,6619.0,70.45989361702127,188,6,6,10
Grant W Flower,6571.0,56.98897196261682,214,6,8,18
Ijaz Ahmed,6564.0,74.72142241379306,232,10,3,14
Allan R Border,6524.0,67.04702380952384,252,3,2,12
Mahendra S Dhoni,6497.0,85.30714285714282,175,7,5,6
Younis Khan,6442.0,64.96847926267282,217,6,1,21
Graeme C Smith,6360.0,71.84687861271676,173,8,4,8
Richard B Richardson,6248.0,56.13230414746542,217,5,5,8
Matthew L Hayden,6133.0,70.26180645161288,155,10,4,9
Dean M Jones,6068.0,66.05378881987575,161,7,5,6
David C Boon,5964.0,58.262824858757064,177,5,3,6
Jonathan N Rhodes,5935.0,75.37209090909091,220,2,2,15
Ramiz Raja,5841.0,53.865532994923846,197,9,1,16
Carl L Hooper,5761.0,72.30029126213591,206,7,1,7
Ramnaresh R Sarwan,5644.0,72.78229813664595,161,4,5,6
Tillekeratne M Dilshan,5606.0,81.42110526315787,190,10,1,7
Wessel J Cronje,5565.0,73.57342857142854,175,2,4,8
Alaysinhji D Jadeja,5359.0,66.71011173184357,179,6,3,10
Damien R Martyn,5346.0,71.41329670329672,182,5,2,11
Shoaib Malik,5204.0,74.357816091954,174,7,1,10
Alistair D R Campbell,5185.0,56.564728260869565,185,7,3,11
Roshan S Mahanama,5162.0,56.235757575757575,198,4,3,16
Cuthbert Gordon Greenidge,5134.0,60.189448818897624,127,11,2,3
Paul D Collingwood,5092.0,72.62646408839778,181,5,3,7
Andrew Symonds,5088.0,83.1021118012422,161,6,2,15
Abdul Razzaq,5063.0,83.66730088495576,227,3,0,16
Christopher L Cairns,4950.0,81.18772020725392,193,4,0,9
Michael E K Hussey,4862.0,88.7090579710145,138,3,0,4
Aamir Sohail,4780.0,57.79670967741933,156,5,3,10
Craig D McMillan,4707.0,68.71426229508195,183,3,0,9
Martin D Crowe,4704.0,64.16371428571429,140,4,6,3
Mark V Boucher,4686.0,80.89782805429867,221,1,0,18
Alec J Stewart,4677.0,61.39067901234567,162,4,2,14
Abraham B de Villiers,4523.0,82.65191304347827,115,11,2,6
Scott B Styris,4483.0,73.65565217391301,161,4,0,9
Navjot S Sidhu,4413.0,57.45314960629923,127,6,3,7
Christopher Z Harris,4379.0,66.2012676056338,213,1,0,12
Geoffrey R Marsh,4357.0,47.83208695652174,115,9,2,4
Marcus E Trescothick,4335.0,69.12467213114756,122,12,1,13
Graham A Gooch,4290.0,54.996065573770466,122,8,3,4
Gautam Gambhir,4286.0,73.77817391304346,115,9,1,8
Andrew J Strauss,4205.0,68.72464000000001,125,6,2,9
Shane R Watson,4186.0,85.7664462809917,121,6,2,8
Brendon B McCullum,4181.0,83.49371257485028,167,3,1,15
Krishnamachari Srikkanth,4091.0,60.703310344827585,145,4,5,11
W Upul Tharanga,4064.0,62.5715702479339,121,12,0,11
Allan J Lamb,4010.0,69.480593220339,118,4,4,8
Brendan R M Taylor,3985.0,59.78750000000001,128,6,3,8
Russel P Arnold,3950.0,71.1858064516129,155,1,1,7
Kevin P Pietersen,3903.0,76.02491071428571,112,7,1,6
Asanka P Gurusinha,3902.0,54.883286713286694,144,2,0,12
John G Wright,3891.0,49.40932432432434,148,1,1,9
Daryll J Cullinan,3860.0,62.27210526315787,133,3,1,10
Graeme A Hick,3846.0,62.11440677966104,118,5,2,10
Hashan P Tillakaratne,3789.0,54.93589285714287,168,2,0,11
Kapil Dev,3783.0,83.98454545454543,198,1,0,16
Wasim Akram,3717.0,84.67800000000003,280,0,0,32
Romesh S Kaluwitharana,3711.0,69.15171270718227,181,2,2,24
Imran Khan,3709.0,74.56735099337747,151,1,0,6
Philip V Simmons,3675.0,59.58173913043478,138,5,1,14
Nicholas V Knight,3626.0,60.9104,100,5,1,7
Lance Klusener,3576.0,87.77043795620433,137,2,2,13
Shaun M Pollock,3519.0,84.6779512195122,205,1,0,24
Mark A Taylor,3514.0,51.1771818181818,110,1,2,4
Dillip B Vengsarkar,3508.0,60.28066666666663,120,1,2,7
Hendrik H Dippenaar,3421.0,65.2794736842105,95,4,1,4
Stephen O Tikolo,3421.0,61.25124031007751,130,3,3,13
Mohammad Ashraful,3396.0,61.12871951219509,164,3,1,13
Andrew Flintoff,3394.0,79.18106557377047,122,3,1,9
Kepler C Wessels,3367.0,51.73571428571429,105,1,1,0
Shakib Al Hasan,3342.0,70.87280701754385,114,5,1,6
Adam C Parore,3314.0,63.693540372670796,161,1,2,20
Tatenda Taibu,3297.0,56.657761194029845,134,2,2,16
Moin Khan,3266.0,76.8767213114754,183,0,0,19
Ian R Bell,3234.0,67.64067307692311,104,1,0,6
Luteru R P L Taylor,3185.0,75.5810101010101,99,5,1,6
Suresh K Raina,3172.0,81.5819090909091,110,3,0,8
David I Gower,3170.0,66.08819819819819,111,7,1,6
Kenneth R Rutherford,3143.0,57.01339130434783,115,2,0,7
Tamim Iqbal,3112.0,70.17,106,3,1,10
Ravishankar J Shastri,3108.0,59.98703124999999,128,4,0,6
Sunil M Gavaskar,3092.0,56.479215686274486,102,1,2,8
Darren S Lehmann,3078.0,75.68831683168317,101,4,2,5
Hamilton Masakadza,2994.0,56.13203539823008,113,3,0,13
Heath H Streak,2943.0,77.51433962264146,159,0,0,8
Kamran Akmal,2924.0,78.79591666666664,120,5,0,6
Wavell W Hinds,2880.0,57.01360360360356,111,5,1,9
Marlon N Samuels,2862.0,70.50774774774773,111,2,2,5
Augustine L Logie,2809.0,70.03654135338346,133,1,0,13
Andrew H Jones,2784.0,49.54643678160919,87,0,1,4
Mohammad Kaif,2753.0,64.54481818181816,110,2,2,8
Elton Chigumbura,2744.0,78.62738461538461,130,0,0,9
Stuart V Carlisle,2740.0,55.12616822429906,107,3,1,11
Salman Butt,2725.0,55.671410256410255,78,8,0,15
Roger G Twose,2717.0,69.07172839506174,81,1,2,6
